I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,U,92.3,93.1,93.3,92.3,92.6,92.5,92.4,90.6,89.6,89.8,85.7,84.1,82.8,80.6,82.5,77.1,75.2,72.4,74,69,67.9,62,56,52.6,47.8,46.3,39,37.5,33,29.4,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,25,28.5,29.5,24.3,28.3,30,32.5,31,32.3,34,25.4,27,26.2,28.5,31.3,29.8,29,24,24.9,22.8,26.7,27.9,27.9,27.4,24.8,27,27.7,27.9,26.9,26.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,65.9285714285714,66.5,66.6428571428571,65.9285714285714,66.1428571428571,66.0714285714286,66,64.7142857142857,64,64.1428571428571,61.2142857142857,60.0714285714286,59.1428571428571,57.5714285714286,58.9285714285714,55.0714285714286,53.7142857142857,51.7142857142857,52.8571428571429,49.2857142857143,48.5,44.2857142857143,40,37.5714285714286,34.1428571428571,33.0714285714286,27.8571428571429,26.7857142857143,23.5714285714286,21,19.8428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,12.7551020408163,14.5408163265306,15.0510204081633,12.3979591836735,14.4387755102041,15.3061224489796,16.5816326530612,15.8163265306122,16.4795918367347,17.3469387755102,12.9591836734694,13.7755102040816,13.3673469387755,14.5408163265306,15.969387755102,15.2040816326531,14.7959183673469,12.2448979591837,12.7040816326531,11.6326530612245,13.6224489795918,14.234693877551,14.234693877551,13.9795918367347,12.6530612244898,13.7755102040816,14.1326530612245,14.234693877551,13.7244897959184,13.5204081632653,13.7755102040816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,64.6829490866071,64.890790259929,64.9210073307271,64.7523523796025,64.5476514893171,64.2740716700462,63.8830921180161,62.7517536853533,61.8419198674704,61.7526504497392,59.8268195212439,58.4706067116589,57.6124256288417,55.7048835230198,56.7234976472665,52.9310697663063,51.6362788111491,50.2437042912638,51.3077368521678,47.8932460312542,46.5475980454246,41.9356409275968,37.381459177143,34.8738190764398,31.7117444415608,30.0658395254871,24.0060101977469,22.6902617880079,19.1637841967523,16.0685582146846,14.2819570860957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.205996653142061,0.20665856770678,0.206754800416328,0.206217682737588,0.205565769074258,0.204694495764478,0.203449337955465,0.199846349316412,0.196948789386848,0.19666449187815,0.190531272360649,0.186212123285538,0.183479062512235,0.177404087652929,0.180648081679193,0.168570285879956,0.164446747806207,0.160011797105936,0.163400435834929,0.152526261246032,0.148240758106448,0.133552996584703,0.119049233048226,0.111063118077834,0.100992816692869,0.09575108129136,0.076452261776264,0.072261980216586,0.061031159862268,0.051173752276066,0.045483939764636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.288395314398885,0.289321994789492,0.28945672058286,0.288704755832622,0.287792076703961,0.286572294070269,0.284829073137652,0.279784889042977,0.275728305141588,0.275330288629411,0.266743781304909,0.260696972599753,0.256870687517129,0.248365722714101,0.252907314350869,0.235998400231939,0.23022544692869,0.22401651594831,0.228760610168901,0.213536765744445,0.207537061349027,0.186974195218584,0.166668926267517,0.155488365308967,0.141389943370016,0.134051513807904,0.10703316648677,0.10116677230322,0.085443623807176,0.071643253186492,0.063677515670491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,U,96.4,96.9,96.9,96.4,96.7,96.6,96.7,94.9,94,94,89.9,88.5,87.5,85.3,87.1,81.7,80,77.2,79,73.8,72.6,66.7,61,57.4,52.6,51,43.6,41.8,37.4,33.3,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,33.2,36.1,36.8,31.7,36,37.9,41.3,39,41.3,42.8,33.7,34.5,34.2,36.7,39.7,37.2,37,31.1,32.6,29.6,34.5,35.5,36,35.2,32.5,35.4,35.6,35.4,34.3,34,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,60.25,60.5625,60.5625,60.25,60.4375,60.375,60.4375,59.3125,58.75,58.75,56.1875,55.3125,54.6875,53.3125,54.4375,51.0625,50,48.25,49.375,46.125,45.375,41.6875,38.125,35.875,32.875,31.875,27.25,26.125,23.375,20.8125,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,12.96875,14.1015625,14.375,12.3828125,14.0625,14.8046875,16.1328125,15.234375,16.1328125,16.71875,13.1640625,13.4765625,13.359375,14.3359375,15.5078125,14.53125,14.453125,12.1484375,12.734375,11.5625,13.4765625,13.8671875,14.0625,13.75,12.6953125,13.828125,13.90625,13.828125,13.3984375,13.28125,13.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,58.8376922001322,58.8978975966765,58.8317582709373,58.9637893506671,58.7787163861206,58.5317166417263,58.2445170560272,57.3226523689316,56.4915468087027,56.3209188351673,54.6236451982664,53.645642129008,53.0306492121243,51.3488417809603,52.1818853407468,48.9512173463286,47.865511359792,46.69558829599,47.7045733484681,44.652258831441,43.3275072925225,39.3134680114823,35.4367283866612,33.1353757334967,30.3248192991705,28.7193068158752,23.4345623158936,22.1652562354775,19.1539159849518,16.0239993349819,14.3273326525735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.18738118535074,0.187572922282409,0.187362287487061,0.187782768632698,0.187193364287008,0.186406740897218,0.185492092535119,0.182556217735451,0.179909384741091,0.179365983551488,0.173960653497664,0.170845994041427,0.168887417873007,0.163531343251466,0.166184348218939,0.155895596644359,0.152437934266853,0.148712064636911,0.151925392829516,0.142204645960003,0.137985692014403,0.125202127425103,0.112855822887456,0.105526674310499,0.09657585764067,0.091462760560112,0.074632364063355,0.070589988011075,0.060999732436152,0.051031845015866,0.045628447938132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.299809896561183,0.300116675651855,0.299779659979298,0.300452429812316,0.299509382859213,0.298250785435548,0.29678734805619,0.292089948376721,0.287855015585746,0.286985573682381,0.278337045596262,0.273353590466283,0.270219868596811,0.261650149202345,0.265894957150302,0.249432954630974,0.243900694826966,0.237939303419057,0.243080628527226,0.227527433536005,0.220777107223045,0.200323403880165,0.18056931661993,0.168842678896798,0.154521372225073,0.146340416896179,0.119411782501369,0.11294398081772,0.097599571897844,0.081650952025385,0.073005516701012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,U,100,100.5,100.8,99.8,100,100,100.3,98.6,97.8,98.2,94,92.4,91.4,89.2,90.9,86,84,81.5,83.2,78,76.9,71.3,65.3,62,57.1,55.7,48,46.4,41.8,37.6,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,42.4,45.5,46.4,39.8,45.2,47.5,50.7,49,51.3,53.5,42.7,43.4,43.6,45.2,48.5,47,46,39.7,41.8,38,43.4,45,44.8,45,41.5,44.5,44.5,45,43.3,43.5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,55.5555555555556,55.8333333333333,56,55.4444444444444,55.5555555555556,55.5555555555556,55.7222222222222,54.7777777777778,54.3333333333333,54.5555555555556,52.2222222222222,51.3333333333333,50.7777777777778,49.5555555555556,50.5,47.7777777777778,46.6666666666667,45.2777777777778,46.2222222222222,43.3333333333333,42.7222222222222,39.6111111111111,36.2777777777778,34.4444444444444,31.7222222222222,30.9444444444444,26.6666666666667,25.7777777777778,23.2222222222222,20.8888888888889,19.7777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,13.0864197530864,14.0432098765432,14.320987654321,12.283950617284,13.9506172839506,14.6604938271605,15.6481481481482,15.1234567901235,15.8333333333333,16.5123456790123,13.179012345679,13.3950617283951,13.4567901234568,13.9506172839506,14.9691358024691,14.5061728395062,14.1975308641975,12.2530864197531,12.9012345679012,11.7283950617284,13.3950617283951,13.8888888888889,13.8271604938272,13.8888888888889,12.8086419753086,13.7345679012346,13.7345679012346,13.8888888888889,13.3641975308642,13.4259259259259,13.5802469135802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,53.9922714018632,54.0384064113152,54.1378731813948,54.0665421215858,53.7754593702663,53.5862825154928,53.4799168746206,52.6487036211612,51.9751543207586,51.9966449124567,50.5319119707497,49.5548527634136,48.9622049710041,47.5513760454573,48.2304361718535,45.5223791000986,44.4545598913985,43.5882900981891,44.3852675308428,41.7159744828501,40.5679749666831,37.0963460315014,33.5393320322837,31.5201287833429,29.0213382438579,27.7294119400626,22.8576629530993,21.716182735292,18.9913093096373,16.002818253167,14.3783652615085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.171949908923131,0.172096835704825,0.172413608857945,0.172186439877662,0.171259424746071,0.170656950686283,0.170318206607072,0.167671030640641,0.16552596917439,0.165594410549225,0.160929655957802,0.157818002431253,0.155930589079631,0.151437503329482,0.153600115196986,0.144975729618148,0.141575031501269,0.138816210503787,0.141354355193767,0.132853421919905,0.12919737250536,0.118141229399686,0.106813159338483,0.10038257574313,0.09242464408872,0.08831022910848,0.072795104946176,0.069159817628318,0.060481876782284,0.050964389341296,0.045790972170409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.309509836061636,0.309774304268686,0.310344495944301,0.309935591779791,0.308266964542928,0.307182511235309,0.306572771892729,0.301807855153153,0.297946744513902,0.298069938988605,0.289673380724043,0.284072404376256,0.280675060343336,0.272587505993067,0.276480207354574,0.260956313312667,0.254835056702284,0.249869178906816,0.25443783934878,0.239136159455829,0.232555270509648,0.212654212919435,0.19226368680927,0.180688636337634,0.166364359359695,0.158958412395263,0.131031188903117,0.124487671730973,0.108867378208112,0.091735900814333,0.082423749906737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,U,103.2,103.6,104.4,102.8,103.4,103.6,103.8,102.4,101.5,101.8,97.8,95.9,95.4,93,94.8,89.9,88.1,85.6,87.3,82.2,81.5,75.8,70,67.2,61.8,60.4,52.8,51,46.4,42.1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,53.3,56.7,59.7,51.1,55,58.6,63.7,61.3,63.4,65.5,54,53.9,55.4,56,59.4,57.5,57.6,50,52.5,48.3,54.5,55.8,56.6,56.7,52.2,56,56,56.4,54.3,54.2,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,51.6,51.8,52.2,51.4,51.7,51.8,51.9,51.2,50.75,50.9,48.9,47.95,47.7,46.5,47.4,44.95,44.05,42.8,43.65,41.1,40.75,37.9,35,33.6,30.9,30.2,26.4,25.5,23.2,21.05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,13.325,14.175,14.925,12.775,13.75,14.65,15.925,15.325,15.85,16.375,13.5,13.475,13.85,14,14.85,14.375,14.4,12.5,13.125,12.075,13.625,13.95,14.15,14.175,13.05,14,14,14.1,13.575,13.55,13.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,49.8498182042824,49.8227796795803,50.0208394071911,49.7871406590095,49.8380126008251,49.685183908284,49.3964004255371,48.8526803256485,48.2114094380158,48.1940802900107,46.9995744661587,46.0176800262682,45.6450161572981,44.342417615642,45.0137478999472,42.5894573222059,41.6298270474428,40.933971221957,41.6299996997358,39.2861855491215,38.4047116250077,35.2392891528759,32.0121461323667,30.4635745604484,28.0090610338869,26.7589237451733,22.3821357336604,21.2471174515509,18.8138080940569,16.109003693587,14.4283574948779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.158757382816186,0.158671272864905,0.159302036328634,0.158557772799393,0.158719785352946,0.158233069771605,0.157313377151392,0.155581784476587,0.153539520503235,0.153484332133792,0.149680173459104,0.146553121102765,0.14536629349458,0.141217890495675,0.143355885031679,0.13563521440193,0.132579067030073,0.130362965675022,0.132579616878139,0.125115240602298,0.122307998805757,0.112227035518713,0.10194950997569,0.097017753377224,0.089200831318111,0.085219502373163,0.071280687049874,0.067665979145067,0.059916586286805,0.051302559533717,0.045950183104707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.317514765632372,0.317342545729811,0.318604072657268,0.317115545598787,0.317439570705892,0.31646613954321,0.314626754302784,0.311163568953175,0.30707904100647,0.306968664267584,0.299360346918208,0.29310624220553,0.29073258698916,0.28243578099135,0.286711770063358,0.271270428803859,0.265158134060145,0.260725931350044,0.265159233756279,0.250230481204595,0.244615997611514,0.224454071037426,0.20389901995138,0.194035506754449,0.178401662636222,0.170439004746327,0.142561374099748,0.135331958290133,0.119833172573611,0.102605119067433,0.091900366209414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,U,106.2,106.8,106.8,105.6,106.4,106.8,106.9,105.6,104.9,105.2,101.5,99.4,98.5,96.8,98.6,93.7,91.9,92.1,90.8,86,85.3,79.9,74.4,71.1,66.2,65,57,55.5,51,46.5,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,66.7,69.8,70.1,61.3,67.7,73,76.6,74.3,77.1,79,67,66.9,66.1,68.7,73.6,70.5,69.9,62.8,64,60,66.7,67.7,69,68.1,64.6,68.8,68.4,68.8,66.7,66,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,48.2727272727273,48.5454545454545,48.5454545454545,48,48.3636363636364,48.5454545454545,48.5909090909091,48,47.6818181818182,47.8181818181818,46.1363636363636,45.1818181818182,44.7727272727273,44,44.8181818181818,42.5909090909091,41.7727272727273,41.8636363636364,41.2727272727273,39.0909090909091,38.7727272727273,36.3181818181818,33.8181818181818,32.3181818181818,30.0909090909091,29.5454545454545,25.9090909090909,25.2272727272727,23.1818181818182,21.1363636363636,19.9090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,13.7809917355372,14.4214876033058,14.4834710743802,12.6652892561983,13.9876033057851,15.0826446280992,15.8264462809917,15.3512396694215,15.9297520661157,16.3223140495868,13.8429752066116,13.8223140495868,13.6570247933884,14.1942148760331,15.2066115702479,14.5661157024793,14.4421487603306,12.9752066115702,13.2231404958678,12.396694214876,13.7809917355372,13.9876033057851,14.2561983471074,14.0702479338843,13.3471074380165,14.2148760330578,14.1322314049587,14.2148760330578,13.7809917355372,13.6363636363636,13.7603305785124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,46.2638137763432,46.3538763463477,46.3345467514509,46.2989249125379,46.2967415276069,46.1429841692891,45.9412673355435,45.4789999957341,44.9421715567467,44.946196462697,44.0106360669318,43.0155823920759,42.6389819441176,41.6476201487312,42.1595586556501,40.0226662096876,39.1967483726155,39.8021112878933,39.0971427594839,37.0731863493897,36.2409802150872,33.5165225573672,30.6664349114066,29.0945527395092,26.9688252053255,25.9011811248506,21.7154559531279,20.8411273356552,18.6408412095574,16.1491626577186,14.3883704149046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.147336986548864,0.147623810020216,0.147562250800799,0.147448805453942,0.147441851998748,0.146952178883086,0.146309768584533,0.144837579604249,0.143127934894098,0.143140753065914,0.140161261359655,0.136992300611707,0.135792936127763,0.132635732957743,0.134266110368313,0.127460720413018,0.124830408829986,0.126758316203482,0.124513193501541,0.118067472450286,0.115417134442953,0.106740517698622,0.097663805450339,0.092657811272322,0.085887978360909,0.082487837977231,0.069157503035439,0.066373016992533,0.05936573633617,0.051430454323945,0.045822835716257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.3241413704075,0.324772382044474,0.324636951761758,0.324387371998673,0.324372074397245,0.32329479354279,0.321881490885973,0.318642675129347,0.314881456767015,0.314909656745011,0.308354774991242,0.301383061345755,0.298744459481079,0.291798612507034,0.295385442810288,0.280413584908639,0.274626899425968,0.27886829564766,0.273929025703391,0.259748439390629,0.253917695774497,0.234829138936967,0.214860371990747,0.203847184799109,0.188953552394,0.181473243549909,0.152146506677966,0.146020637383572,0.130604619939574,0.113146999512678,0.100810238575765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,U,109.3,109.7,110.4,108.6,109.5,110.3,110.4,109.2,108.7,109,105.5,104.5,102.6,101.8,102.1,97.5,96,96,94.5,90,89.4,83.9,78.6,75.4,70.7,69.5,62,60.5,55.5,51,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,82.7,85.3,89.1,76.7,82.5,88.8,93,92.8,94,97.9,82.4,82.8,81.7,85.8,88.5,85.3,86,77.7,78,75,81.8,82,83,82.4,78.8,83.4,82.5,84.2,80.3,80.5,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,45.5416666666667,45.7083333333333,46,45.25,45.625,45.9583333333333,46,45.5,45.2916666666667,45.4166666666667,43.9583333333333,43.5416666666667,42.75,42.4166666666667,42.5416666666667,40.625,40,40,39.375,37.5,37.25,34.9583333333333,32.75,31.4166666666667,29.4583333333333,28.9583333333333,25.8333333333333,25.2083333333333,23.125,21.25,20.2083333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,14.3576388888889,14.8090277777778,15.46875,13.3159722222222,14.3229166666667,15.4166666666667,16.1458333333333,16.1111111111111,16.3194444444444,16.9965277777778,14.3055555555556,14.375,14.1840277777778,14.8958333333333,15.3645833333333,14.8090277777778,14.9305555555556,13.4895833333333,13.5416666666667,13.0208333333333,14.2013888888889,14.2361111111111,14.4097222222222,14.3055555555556,13.6805555555556,14.4791666666667,14.3229166666667,14.6180555555556,13.9409722222222,13.9756944444444,14.3229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,43.2192272989007,43.2428541193585,43.3211007874627,43.2463568844476,43.3185258654969,43.2954361528634,43.0733335832302,42.5521103914416,42.2493881904713,42.1164060030096,41.5654441777224,41.1003176521923,40.3283505241564,39.7150822788606,39.6701774860012,37.8296619239058,37.1090084858444,37.6567542612618,36.9731509191317,35.1668579674892,34.4366527645551,31.928329268481,29.4095631636785,27.9706636440997,26.0889977283363,25.0786523179244,21.4991899677833,20.5371010909314,18.4503365416252,16.007575231606,14.2559038391409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.137640851270384,0.137716095921524,0.137965289132047,0.137727251224355,0.137957088743621,0.137883554626953,0.137176221602644,0.13551627513198,0.134552191689399,0.134128681538247,0.132374026043702,0.130892731376409,0.128434237338078,0.126481153754333,0.126338144859876,0.12047663033091,0.118181555687402,0.11992596898491,0.117748888277489,0.111996362953787,0.109670868676927,0.101682577288156,0.09366102918369,0.08907854663726,0.083085980026549,0.079868319483836,0.068468757859183,0.065404780544368,0.058759033572055,0.050979538954159,0.045400967640576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.330338043048922,0.330518630211657,0.331116693916912,0.330545402938453,0.33109701298469,0.330920531104688,0.329222931846345,0.325239060316751,0.322925260054558,0.321908835691793,0.317697662504885,0.314142555303381,0.308242169611387,0.303554769010399,0.303211547663703,0.289143912794184,0.283635733649766,0.287822325563784,0.282597331865975,0.268791271089089,0.263210084824625,0.244038185491575,0.224786470040855,0.213788511929424,0.199406352063717,0.191683966761205,0.164325018862038,0.156971473306482,0.141021680572931,0.122350893489982,0.108962322337383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,U,112.7,113.2,114.1,113,112.8,113.7,114.1,113.2,112.6,113.7,108.9,108,107.2,106.3,106.2,102.6,100.9,101.3,98.6,94.2,93.8,88.2,83.3,80,75.2,74.1,66.6,65.4,60.9,56.4,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,100.6,103.9,110,103,101.3,109.9,116,113.9,114.5,121,100.4,100,100,106.6,107.6,105,105,95.6,94.6,92.8,99.2,98.9,100.4,100.3,95.9,99.5,99.2,101.5,98.5,98.8,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,43.3461538461538,43.5384615384615,43.8846153846154,43.4615384615385,43.3846153846154,43.7307692307692,43.8846153846154,43.5384615384615,43.3076923076923,43.7307692307692,41.8846153846154,41.5384615384615,41.2307692307692,40.8846153846154,40.8461538461538,39.4615384615385,38.8076923076923,38.9615384615385,37.9230769230769,36.2307692307692,36.0769230769231,33.9230769230769,32.0384615384615,30.7692307692308,28.9230769230769,28.5,25.6153846153846,25.1538461538462,23.4230769230769,21.6923076923077,20.6153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,14.8816568047337,15.3698224852071,16.2721893491124,15.2366863905325,14.9852071005917,16.2573964497041,17.1597633136095,16.8491124260355,16.9378698224852,17.8994082840237,14.8520710059172,14.792899408284,14.792899408284,15.7692307692308,15.9171597633136,15.5325443786982,15.5325443786982,14.1420118343195,13.9940828402367,13.7278106508876,14.6745562130178,14.6301775147929,14.8520710059172,14.8372781065089,14.1863905325444,14.7189349112426,14.6745562130178,15.0147928994083,14.5710059171598,14.6153846153846,14.8224852071006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,40.7114890909257,40.7353187039124,40.7562917994541,40.7031781717392,40.7144743331334,40.5965175623715,40.3906176045443,40.1460464254067,39.8580578916522,39.8997664228328,39.1629543414737,38.8151248108085,38.4856656231556,37.7211232082858,37.6171810359684,36.276067632466,35.5637040727241,36.3043383160733,35.2466368434522,33.5293282632777,32.9575754364487,30.6060950435472,28.3880081123469,26.9555326513925,25.2049737622629,24.4049780798632,20.9953644632587,20.1809804152137,18.339201703086,16.029558495546,14.3278754574962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.129654423856451,0.12973031434367,0.129797107641574,0.129627955960953,0.12966393099724,0.129288272491629,0.128632540141861,0.127853651036327,0.126936490100803,0.127069319817939,0.124722784526986,0.12361504716818,0.122565814086483,0.120130965631483,0.119799939604995,0.115528877810401,0.113260204053261,0.115618911834628,0.112250435807173,0.106781300201521,0.10496043132627,0.097471640266074,0.090407669147602,0.085845645386601,0.08027061707727,0.077722860126953,0.066864218035856,0.064270638265012,0.058405100965242,0.051049549348873,0.04563017661623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.337101502026773,0.337298817293542,0.337472479868092,0.337032685498478,0.337126220592825,0.336149508478236,0.334444604368838,0.33241949269445,0.330034874262088,0.330380231526641,0.324279239770164,0.321399122637268,0.318671116624855,0.312340510641857,0.311479842972987,0.300375082307044,0.29447653053848,0.300609170770034,0.291851133098649,0.277631380523955,0.272897121448301,0.253426264691792,0.235059939783764,0.223198678005161,0.208703604400903,0.202079436330077,0.173846966893225,0.167103659489031,0.15185326250963,0.132728828307069,0.118638459202198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
